what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1586768847077
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1586768847077
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1586768847078
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1586768847079
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1586768847080
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1586768847081
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1586768847082
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1586768847083
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1586768847084
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1586768847084
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1586768847085
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1586768847087
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1586768847088
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1586768847091
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1586768847091
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1586768847092
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1586768847093
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1586768847095
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1586768847096
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1586768847096
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1586768847096
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1586768847096
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1586768847097
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1586768847099
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1586768847100
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1586768847102
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1586768847103
os,sysinfo,,,"win32",1586768847106
arch,sysinfo,,,"x86_64",1586768847106
ws,sysinfo,,,"win32",1586768847106
locale,sysinfo,,,"de_DE",1586768847106
processors,sysinfo,,,"4",1586768847106
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1586768847106
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1586768847106
java.specification.name,sysinfo,,,"Java Platform API Specification",1586768847106
java.specification.vendor,sysinfo,,,"Oracle Corporation",1586768847106
java.specification.version,sysinfo,,,"1.7",1586768847106
java.vendor,sysinfo,,,"Oracle Corporation",1586768847106
java.version,sysinfo,,,"1.7.0_80",1586768847106
java.vm.info,sysinfo,,,"mixed mode",1586768847106
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1586768847106
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1586768847106
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1586768847106
java.vm.specification.version,sysinfo,,,"1.7",1586768847106
java.vm.vendor,sysinfo,,,"Oracle Corporation",1586768847106
java.vm.version,sysinfo,,,"24.80-b11",1586768847106
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586768851145
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1586768856694
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1586768861090
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586768877601
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1586768880609
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1586768880628
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586768881130
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586768922063
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1586768922094
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1586768922571
started,bundle,org.eclipse.help.base,3.5.2.v201009090800,"org.eclipse.help.base",1586768938691
started,bundle,org.eclipse.help.ui,3.5.2.r36_v20100702,"org.eclipse.help.ui",1586768938700
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1586768938736
started,bundle,org.eclipse.equinox.http.servlet,1.1.0.v20100503,"org.eclipse.equinox.http.servlet",1586768938765
started,bundle,org.eclipse.equinox.http.registry,1.1.0.v20100503,"org.eclipse.equinox.http.registry",1586768938863
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586768939020
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1586768939203
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20100421,"org.eclipse.equinox.jsp.jasper",1586768939207
started,bundle,org.eclipse.help.webapp,3.5.2.r36_r20100816,"org.eclipse.help.webapp",1586768939661
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586768945704
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586768946595
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586768950088
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586768950242
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1586768950662
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1586768950836
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1586768950838
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1586768950840
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1586768950841
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1586768950841
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1586768950843
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1586768950845
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1586768950846
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1586768950848
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1586768950850
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1586768950850
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1586768950852
