what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1586734710313
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1586734710315
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1586734710316
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1586734710317
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1586734710319
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1586734710320
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1586734710322
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1586734710324
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1586734710326
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1586734710326
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1586734710328
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1586734710328
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1586734710329
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1586734710330
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1586734710330
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1586734710331
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1586734710332
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1586734710332
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1586734710333
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1586734710334
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1586734710335
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1586734710335
os,sysinfo,,,"win32",1586734710339
arch,sysinfo,,,"x86_64",1586734710339
ws,sysinfo,,,"win32",1586734710339
locale,sysinfo,,,"de_DE",1586734710339
processors,sysinfo,,,"4",1586734710339
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1586734710339
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1586734710339
java.specification.name,sysinfo,,,"Java Platform API Specification",1586734710339
java.specification.vendor,sysinfo,,,"Oracle Corporation",1586734710339
java.specification.version,sysinfo,,,"1.7",1586734710339
java.vendor,sysinfo,,,"Oracle Corporation",1586734710339
java.version,sysinfo,,,"1.7.0_80",1586734710339
java.vm.info,sysinfo,,,"mixed mode",1586734710339
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1586734710339
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1586734710339
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1586734710339
java.vm.specification.version,sysinfo,,,"1.7",1586734710339
java.vm.vendor,sysinfo,,,"Oracle Corporation",1586734710339
java.vm.version,sysinfo,,,"24.80-b11",1586734710339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586734741552
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586734751032
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.help.aboutAction",1586734751058
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586734754079
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586734814122
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1586734820573
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1586734820578
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1586734820605
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1586734820626
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1586734820649
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1586734820666
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1586734820672
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586734821245
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586734828650
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1586734828705
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1586734830591
started,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1586734840466
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586734841050
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586734846760
executed,command,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1586734846809
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586734862181
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586734898403
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586734901204
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586735838182
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586735839525
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586735840835
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1586735841100
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1586735841688
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1586735841858
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1586735841860
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1586735841861
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1586735841863
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1586735841863
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1586735841864
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1586735841866
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1586735841869
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1586735841870
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1586735841872
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1586735841875
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1586735841877
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1586735841887
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1586735841888
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1586735841894
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1586735841897
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1586735841897
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1586735841898
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1586735841899
